Movimentos Embaralhados,Algoritmo,Passos Solução,Tempo (s),Memória Máx.,Nós Expandidos,Fator Ramificação Média,Solução,Problema
1,BFS,1,0.9972989559173584,77,8,12.0,['L'],"[""L'""]"
1,IDS,1,0.020887136459350586,1,9,0.0,['L'],"[""L'""]"
1,A*,1,0.03192949295043945,11,2,12.0,['L'],"[""L'""]"
2,IDS,2,0.1002042293548584,1,43,12.0,"['D', 'D']","['D', 'D']"
2,A*,2,0.06250286102294922,22,3,12.0,"['D', 'D']","['D', 'D']"
2,BFS,2,0.560737133026123,371,35,12.0,"['D', 'D']","['D', 'D']"
3,IDS,3,1.6791303157806396,1,721,12.0,"['R', 'D', 'D']","[""D'"", ""D'"", ""R'""]"
3,BFS,3,8.513151168823242,5411,505,12.0,"['R', 'D', 'D']","[""D'"", ""D'"", ""R'""]"
3,A*,3,0.09050583839416504,33,4,12.0,"['R', 'D', 'D']","[""D'"", ""D'"", ""R'""]"
4,BFS,4,35.09202814102173,22685,2117,12.0,"['U', ""B'"", ""D'"", 'L']","[""L'"", 'D', 'B', ""U'""]"
4,A*,4,0.1162869930267334,44,5,12.0,"['U', ""B'"", ""D'"", 'L']","[""L'"", 'D', 'B', ""U'""]"
4,IDS,4,7.796648979187012,1,3129,12.0,"['U', ""B'"", ""D'"", 'L']","[""L'"", 'D', 'B', ""U'""]"
5,BFS,5,686.7896523475647,428211,39946,12.0,"[""D'"", 'F', 'F', 'B', 'B']","[""F'"", 'B', ""F'"", 'B', 'D']"
5,IDS,5,196.2087905406952,1,78787,12.0,"[""D'"", 'F', 'F', 'B', 'B']","[""F'"", 'B', ""F'"", 'B', 'D']"
5,A*,5,0.1447763442993164,55,6,12.0,"[""D'"", 'F', 'F', 'B', 'B']","[""F'"", 'B', ""F'"", 'B', 'D']"
